about abou
above avbo
add ad
after aef
again agin
air air
all al
almost aml
along agln
also asl
always awly
an an
and and
animal ani
another atno
answer awern
any ay
are are
around adrou
as as
ask ask
at at
ate eat~
# key repeat example
away awa_
back acbk
be be
become bemo_
because bc
been be_n
before bfo_
# past tense example
began bg`
begin bg
# present tense example
being be~
below bel
dev dv
develop dvlp
between bew
big bi
book bo_k
book bok
both boh
boy boy
but bu
by by
call cal
came cam
can can
car car
carry car_y 
carry cary 
change chag
children chilr
city city
close cls
come com
consider consir
could cou
course cours
country cout
cut cut
day day
did di
did di_
different dif_
do do
does dos
don't dont
down down
during dur~
each eah
early early
earth ear_h
eat eat
end en
enough enog
even ev_n
even evn
every _evy
example ex
example exampl
eye ey
eye ey_
face fac
fact fac_
family fam
family famil
far fa
father fahe
feet fe_
feel fe_l
fell fel`
few few
find find
first fis
follow fo_w
food fo_d
food fod
for fo`
form fom
found foud
four fou`
from rom
get ge
general genal
girl girl
girl gil
give gie
go go
good go_d
got got
great gea
group goup
grow gow
had had
hand ha_d
hard hard
has has
have have
he he
head hea`
hear hear
hello hel
help help
her her
here her_
high hig
him hi
his his
home hoe
hold hod
house house
how how
however howev
idea ida
if if
important imp
in in
increase incr
interest intes
into into
is is
it it
it's its`
it_is its~
its its
just jst
keep ke_p
keeping ke_p~
kind knd
know know
knowing know~
land land
landing land~
large larg
last last
late late
later late`
lead lea
learn learn
learning learn~
leave leav_
leaving leav~
left lef
let let
letter lter
text tex
texting tex~
life life
light ligh
like lie
line line
list list
little lite
live live
long lng
look l_k
made mad_
make make
man man
many man~
may mae
me me
mean mean
men men
might mig
mile mile
miss mis_
more more
most most
mother mote
mountain mota_~
move move
much mc
must mst
my m~
name nae
nation natio
near near
need ne_
never nev`
new new
next next
night nig
no n_
not not
now n_w
number nmb
off of_
of of
often ofe
old o_d
on on
once onc
one one
only on~
open open
or or
order ord_
other othe
our our
out out
over ove
own own
page page
paper paer
part par
people peo_
person pers
picture pict
place plac
plant plan
plant plant
play play
problem proem
program proam
present presn
point point
position pos
possible posib
put put
public pubic
question quet
quick qui
quickly qui~
quite quite
read rea`
real real
really real~
right righ
river rie
run ru
said said
same same
saw sa`
say say
school scho
sea sea
second seon
see se_
seem se_m
sentence sent
set set
she she
should sho_d
show sho
side sid
since sinc
small smal
so so
some some
something somet
sometimes somet_
song song
soon so_n
sound soud
spell spel
speed spe_
start star
state stae
still stil_
stop stop
story stoy
study stud
such suc
system syte
take take
talk talk
tell tel_
than tha~
that tha
their thei
them the
then the`
there ther
these thes
the th
they the_
thing thi~
think thi
this this
those those
thought tho`
three thre_
through thro
time time
type type
typed type`
typing type~
together toeh_
too to_
took to_k
to to
tree tre
try try
turn tur
two two
under undr
until u_til
up up
us us
use use
very vey
walk walk
want want
was wa`
watch wa`th
water wate
way way
we we
well wel
went went
were wer_
what what
when whe_
where wher_
which whic
while while
white white
who who`
why wh~
will wil
with with
without witho
word word
work work
world wor_d
would woud
write wrie
year year
you you
young youg
your your
